가까이	靠近	有時	結局	這些
대한민국	大韓民國	大型	水庫	暑
대형	大型	水庫	暑	美德
댐	水庫	暑	美德	恩惠
더구나	況且	越來越	更	半
더러워지다	弄髒	戲弄	一起	盛
더럽히다	弄髒	一起	盛	貼上
더불다	一起	盛	貼上	蓋
더욱더	越來越	更	半	到底
더욱이	更	半	到底	返回
더위	暑	美德	恩惠	塊
더하다	加上	沒有	過於	大
덕	美德	恩惠	塊	工具
덕택	恩惠	塊	工具	盜竊
덜	半	到底	返回	反倒
덜다	盛	貼上	蓋	蓋上
덧붙이다	貼上	蓋	蓋上	燙傷
덩어리	塊	工具	盜竊	小偷
덮다	蓋	蓋上	燙傷	帶
덮이다	蓋上	燙傷	帶	熱
데	地方	帶	熱	燙
데다	燙傷	帶	熱	燙
데리다	帶	熱	燙	逃走
데우다	熱	燙	逃走	冷
데치다	燙	冷	逃走	收回
도구	工具	盜竊	小偷	砧板
도난	盜竊	小偷	砧板	逃脫
도대체	到底	返回	反倒	怎麼也
도둑	小偷	砧板	逃脫	圖書
도로	返回	反倒	怎麼也	實在
도리어	反倒	怎麼也	實在	非常
도마	砧板	逃脫	圖書	便當盒
도망	逃脫	圖書	便當盒	市中心
도망가다	逃走	謀生	收回	退回
도망치다	逃走	收回	退回	照顧
도무지	怎麼也	實在	非常	盡量
도서	圖書	便當盒	市中心	導入
도시락	便當盒	市中心	導入	陶瓷製品
도심	市中心	導入	陶瓷製品	印章
도입	導入	陶瓷製品	印章	挑戰
도자기	陶瓷製品	印章	挑戰	途中
도장	印章	挑戰	途中	毒
도저히	實在	非常	盡量	所以
도전	挑戰	途中	毒	流感
도중	途中	毒	流感	獨立
독	毒	流感	獨立	獨身者
독감	流感	獨立	獨身者	德語
독립	獨立	獨身者	德語	讀者
독신자	獨身者	德語	讀者	小石頭
독일어	德語	讀者	小石頭	東
독자	讀者	小石頭	東	區
독특하다	獨特的	烈	圓形的	害怕的
독하다	烈	圓形的	害怕的	淡
돌	石頭	小鎮	東大門	動物
돌려받다	收回	退回	照顧	逛
돌려보내다	退回	照顧	逛	回頭看
돌멩이	小石頭	東	區	圓圈
돌보다	照顧	逛	回頭看	改變
돌아다니다	逛	回頭看	改變	倒流
돌아보다	回頭看	改變	倒流	返回
돌아서다	改變	倒流	返回	被退回
동	東	區	圓圈	同期生
동	區	區	圓圈	同期生
동그라미	圓圈	同期生	動機	東南亞
동그랗다	圓形的	害怕的	方形的	遲來
동기	同期生	動機	東南亞	同事
동기	動機	動機	東南亞	同事
동남아	東南亞	同事	東	東西南北
동료	同事	東	東西南北	俱樂部
동부	東	東西南北	俱樂部	東洋
동서남북	東西南北	俱樂部	東洋	東方人
동아리	俱樂部	東洋	東方人	視頻
동양	東洋	東方人	視頻	童謠
동양인	東方人	視頻	童謠	同意
동영상	視頻	童謠	同意	相同的
동요	童謠	同意	相同的	動作
동의	同意	相同的	動作	同學
동일	相同的	動作	同學	同學會
동작	動作	同學	同學會	同胞
동창	同學	同學會	同胞	同好會
동창회	同學會	同胞	同好會	童話
동포	同胞	同好會	童話	童話書
동호회	同好會	童話	童話書	反過來
동화	童話	童話書	反過來	厚度
동화책	童話書	反過來	厚度	大腦
되게	非常	盡量	所以	分別地
되도록	盡量	所以	分別地	叮鈴鈴
되돌리다	倒流	返回	被退回	復活
되돌아가다	返回	被退回	復活	恢復
되돌아오다	被退回	復活	恢復	找回
되살리다	復活	恢復	找回	突出
되살아나다	恢復	找回	突出	敲
되찾다	找回	突出	敲	害怕
되풀이	反過來	厚度	大腦	恐懼
두께	厚度	大腦	恐懼	頭痛藥
두뇌	大腦	恐懼	頭痛藥	周長
두드러지다	突出	敲	害怕	圍上
두드리다	敲	害怕	圍上	看看（周圍）
두려움	恐懼	頭痛藥	周長	巢
두려워하다	害怕	圍上	看看（周圍）	環視（周圍）
두렵다	害怕的	圓形的	遲來	稀有的
두르다	圍上	看看（周圍）	環視（周圍）	圍起來
두리번거리다	看看（周圍）	面對	圍起來	不足
두어	兩三個	胡亂想	星期幾	所有
두통약	頭痛藥	周長	巢	背面
둘러보다	環視（周圍）	放手	圍起來	跟在後面
둘러싸다	圍起來	戲弄	跟在後面	落後
둘러싸이다	圍起來	跟在後面	落後	放走
둘레	周長	巢	背面	後街
둥글다	圓形的	遲來	稀有的	踏實的
둥지	巢	背面	後街	背部
뒤늦다	遲來	稀有的	踏實的	硬
뒤따르다	跟在後面	追上	落後	翻找
뒤떨어지다	落後	謀生	翻找	反過來
뒤지다	落後	翻找	反過來	來來去去
뒤지다	翻找	翻找	反過來	來來去去
뒤집다	反過來	來來去去	曝露	顯露
뒤편	背面	後街	背部	後門
뒷골목	後街	背部	後門	後山
뒷모습	背部	後門	後山	吹髮
뒷문	後門	後山	吹髮	駕駛
뒷산	後山	吹髮	駕駛	吹風機
드나들다	來來去去	曝露	顯露	傳回
드라이	吹髮	駕駛	吹風機	乾洗
드라이브	駕駛	吹風機	乾洗	裙子
드라이어	吹風機	乾洗	裙子	聽
드라이클리닝	乾洗	裙子	聽	登記
드러나다	曝露	顯露	傳回	給人聽
드러내다	顯露	傳回	給人聽	得
드레스	裙子	聽	登記	登錄
드물다	稀有的	踏實的	硬	清楚的
든든하다	踏實的	硬	清楚的	傑出的
듣기	聽	登記	登錄	學費
들려오다	傳回	給人聽	得	被抬起
들려주다	給人聽	得	被抬起	介入
들리다	得	進去	進來	離開
들리다	被抬起	進去	進來	離開
들어서다	介入	答應	進去看	招攬
들어주다	答應	進去看	招攬	被發現
들여다보다	進去看	招攬	被發現	摘
들이다	招攬	被發現	摘	跟去
들키다	被發現	摘	跟去	跟隨
등	一等	登山	設計	女兒
등	-等	登山	設計	女兒
등기	登記	登錄	學費	登記證
등록	登錄	學費	登記證	登山服
등록금	學費	登記證	登山服	出場
등록증	登記證	登山服	出場	設計師
등산복	登山服	出場	設計師	數位
등장	出場	設計師	數位	女兒
디자이너	設計師	數位	女兒	地板
디지털	數位	女兒	地板	地下
따님	女兒	地板	地下	花生
따다	摘	跟去	跟隨	跟在
따라가다	跟去	跟來	跟在	弄丟
따라다니다	跟隨	離開	跟在	倒
따라서	所以	分別地	叮鈴鈴	正
따라오다	跟在	戲弄	倒	追究
따로따로	分別地	叮鈴鈴	正	有時
따르다	跟在	倒	追究	打
따르다	倒	倒	追究	打
따르릉	叮鈴鈴	正	有時	敲
따지다	追究	打	離開	離開來
딱	正	地	有時	再次
딱딱하다	硬	清楚的	傑出的	多
딴	胡亂想	星期幾	所有	最
땅바닥	地板	地下	花生	污垢
땅속	地下	花生	污垢	一群
땅콩	花生	污垢	一群	大便
때	污垢	年糕	年糕湯	炒年糕
때때로	有時	輸	再次	也是
때로	有時	再次	也是	清清楚楚
때리다	打	離開	離開來	升起
떠나가다	離開	離開來	升起	回憶起
떠나오다	離開來	升起	回憶起	顫抖
떠오르다	升起	回憶起	顫抖	發抖
떠올리다	回憶起	顫抖	發抖	掉在
떨다	顫抖	發抖	掉在	撕下
떨리다	發抖	掉在	撕下	鑽
떨어뜨리다	掉在	撕下	鑽	黏
떼	一群	大便	蓋子	院子
떼다	撕下	結合	鑽	跑步
또다시	再次	也是	清清楚楚	順心
또한	也是	清清楚楚	順心	意料之外
똑똑히	清清楚楚	順心	意料之外	多
똥	大便	蓋子	院子	意料之外
뚜껑	蓋子	院子	意料之外	腰帶
뚜렷하다	清楚的	傑出的	多	清新
뚫다	鑽	謀生	跑步	跑出
뚫리다	鑽	跑步	跑出	跳下
뛰다	跑步	跑去	睜	走近
뛰어나다	傑出的	多	清新	不好吃
뛰어나오다	跑出	跳下	跳過	跑來跑去玩
뛰어내리다	跳下	跳過	跑來跑去玩	跑來跑去
뛰어넘다	跳過	跑來跑去玩	跑來跑去	跳入
뛰어놀다	跑來跑去玩	跑來跑去	跳入	上升
뛰어다니다	跑來跑去	跳入	上升	浮在
뛰어들다	跳入	上升	浮在	撕
뜨다	上升	走近	緊挨著	走遠
뜨다	浮在	走近	緊挨著	走遠
뜯다	撕	脫穎而出	被控告	乾
뜰	院子	意料之外	腰帶	屬
뜻대로	順心	意料之外	多	很
뜻밖	意料之外	腰帶	屬	收音機
뜻밖에	意料之外	多	很	遠地
띄다	脫穎而出	被控告	乾	喝
띠	腰帶	屬	收音機	拉麵
띠	屬	屬	收音機	拉麵
띠다	被控告	乾	喝	完成
